title,author,journal,issn,volume,pages,date,display_date,doi,citations,year
Effects of task definition and probability of reinforcement upon the acquisition and extinction of imitative responses,Kanareff V.,Journal of Experimental Psychology,00221015,60,340-348,1960-12-01,December 1960,10.1037/h0046161,7,1960
"""Successive Acquisitions and Extinctions as Related to Percentage of Reinforcement"": Erratum",Jensen G.,Journal of Experimental Psychology,00221015,60,328,1960-11-01,November 1960,10.1037/h0038743,0,1960
Effect on visual threshold of light outside the test area,Kaplan I.,Journal of Experimental Psychology,00221015,60,284-289,1960-11-01,November 1960,10.1037/h0041512,4,1960
"Figure-ground dominance as a function of sector angle, brightness, hue, and orientation",Oyama T.,Journal of Experimental Psychology,00221015,60,299-305,1960-11-01,November 1960,10.1037/h0041175,25,1960
The immediate retention of unrelated words,Murdock B.,Journal of Experimental Psychology,00221015,60,222-234,1960-10-01,October 1960,10.1037/h0045145,67,1960
Retroactive inhibition of connected discourse as a function of similarity of topic,Slamecka N.,Journal of Experimental Psychology,00221015,60,245-249,1960-10-01,October 1960,10.1037/h0040705,8,1960
Abilities at different stages of practice in rotary pursuit performance,Fleishman E.,Journal of Experimental Psychology,00221015,60,162-171,1960-09-01,September 1960,10.1037/h0044953,41,1960
"Learning resistance to pain and fear: Effects of overlearning, exposure, and rewarded exposure in context",Miller N.,Journal of Experimental Psychology,00221015,60,137-145,1960-09-01,September 1960,10.1037/h0043321,94,1960
Stimulus differences in discrimination learning,Champion R.,Journal of Experimental Psychology,00221015,60,78-82,1960-08-01,August 1960,10.1037/h0046895,0,1960
The influence of the ready signal and unpaired UCS presentations on eyelid conditioning,McAllister W.,Journal of Experimental Psychology,00221015,60,30-35,1960-07-01,July 1960,10.1037/h0046804,3,1960
Successive acquisitions and extinctions as related to percentage of reinforcement,Jensen G.D.,Journal of Experimental Psychology,00221015,60,41-49,1960-07-01,July 1960,10.1037/h0043159,2,1960
Reversal learning under single stimulus presentation,Birch D.,Journal of Experimental Psychology,00221015,60,36-40,1960-07-01,July 1960,10.1037/h0049278,3,1960
Effect of runway size and drive strength on acquisition and extinction,Lewis D.J.,Journal of Experimental Psychology,00221015,59,402-408,1960-06-01,June 1960,10.1037/h0041402,2,1960
Learning and retention of paired adjectives as a function of percentage occurrence of response members,Schulz R.W.,Journal of Experimental Psychology,00221015,59,409-413,1960-06-01,June 1960,10.1037/h0040526,7,1960
Resistance to extinction as a function of degree of reproduction of training conditions,Marx M.,Journal of Experimental Psychology,00221015,59,337-342,1960-05-01,May 1960,10.1037/h0040239,0,1960
Reinforcers and reinforcement: Their relation to maze performance,Bevan W.,Journal of Experimental Psychology,00221015,59,226-232,1960-04-01,April 1960,10.1037/h0045962,9,1960
